timestamp,accel_x,accel_y,accel_z,gyro_alpha,gyro_beta,gyro_gamma
1778763940177,-2.4000000000000004,-0.2,9.700000000000001,-0.6000000000000001,2.8,-224.1
1778763940193,-2,-0.2,10.100000000000001,-0.4,2.2,-218.4
1778763940210,-2,-0.30000000000000004,9.5,-2.1,1.2000000000000002,-215.9
1778763940225,-2,-0.2,9.9,-0.1,3.2,-210.3
1778763940242,-2.1,-0.1,10,-1,2.1,-207.4
1778763940259,-1.7000000000000002,-0.1,9.8,-1.5,1.9,-202.40000000000003
1778763940275,-1.7000000000000002,0,10,-1.3,2.2,-197.3
1778763940293,-1.4000000000000001,-0.2,10.100000000000001,-2,0.7,-192.29999999999998
1778763940309,-1.3,-0.1,9.8,-0.30000000000000004,3.5,-189.70000000000002
1778763940326,-1.5,0,10.100000000000001,-0.9000000000000001,1.6,-184.20000000000002
1778763940342,-1.3,-0.1,9.600000000000001,-1.2000000000000002,2.2,-181.2
1778763940359,-1,-0.1,9.200000000000001,-1.3,0.1,-176.10000000000002
1778763940376,-1.3,0,10.4,-0.7,1.9,-170.9
1778763940392,-1,-0.1,9.3,0,1.9,-168.2
1778763940409,-0.9,0.30000000000000004,9.5,-0.5,0,-163.5
1778763940426,-0.7000000000000001,0.30000000000000004,9.8,-3.7000000000000006,-0.1,-161.4
1778763940442,-1.2000000000000002,0,10.3,-2.2,1.5,-156.9
1778763940459,-0.6000000000000001,0,9.8,-1.3,3.4,-151.8
1778763940476,-0.6000000000000001,0.1,10,-3.1,-1.2000000000000002,-146.60000000000002
1778763940492,-0.8,0,9.200000000000001,-1.3,0.5,-143.8
1778763940509,-0.4,0,10.3,-1.6,0.7,-138.6
1778763940526,-0.4,0,9.600000000000001,-2.6,-0.9000000000000001,-136.4
1778763940542,-0.6000000000000001,0.6000000000000001,11.200000000000001,-2.5,2.4000000000000004,-132.1
1778763940558,-0.5,0.2,9.200000000000001,-0.6000000000000001,0.5,-128
1778763940576,-0.4,0.1,10.3,-1.1,3.6000000000000005,-125.80000000000001
